FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
creches.fid--370298aa_15b3a2610e3_19e8,44970,Creches e Pré-escolas - Goiânia - GO - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,GOIÂNIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-49.254 -16.679)),0
creches.fid--370298aa_15b3a2610e3_19e9,44971,Creches e Pré-escolas - Goiânia - GO - Tipo C,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,GOIÂNIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-49.254 -16.679)),0
creches.fid--370298aa_15b3a2610e3_19ea,44972,Creches e Pré-escolas - Goiânia - GO - Tipo A,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,GOIÂNIA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.254 -16.679)),0
creches.fid--370298aa_15b3a2610e3_19eb,44973,Creches e Pré-escolas - Goiânia - GO - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,GOIÂNIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-49.254 -16.679)),0
creches.fid--370298aa_15b3a2610e3_19ec,44974,Creches e Pré-escolas - Goiânia - GO - Tipo A,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,GOIÂNIA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.254 -16.679)),0
creches.fid--370298aa_15b3a2610e3_19ed,44975,Creches e Pré-escolas - Goiânia - GO - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,GOIÂNIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-49.254 -16.679)),0
creches.fid--370298aa_15b3a2610e3_19ee,44976,Creches e Pré-escolas - Goiânia - GO - Tipo A,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,GOIÂNIA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.254 -16.679)),0
creches.fid--370298aa_15b3a2610e3_19ef,44977,Creches e Pré-escolas - Goiânia - GO - Tipo A,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,GOIÂNIA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.254 -16.679)),0
creches.fid--370298aa_15b3a2610e3_19f0,44978,Creches e Pré-escolas - Goiânia - GO - Tipo A,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,GOIÂNIA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-49.254 -16.679)),0
creches.fid--370298aa_15b3a2610e3_19f1,44979,Creches e Pré-escolas - Planaltina - GO - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,PLANALTINA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-47.614 -15.453)),0
creches.fid--370298aa_15b3a2610e3_19f2,44980,Creches e Pré-escolas - Planaltina - GO - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,PLANALTINA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-47.614 -15.453)),0
creches.fid--370298aa_15b3a2610e3_19f3,44981,Creches e Pré-escolas - Planaltina - GO - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Município,GO,PLANALTINA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-47.614 -15.453)),0
creches.fid--370298aa_15b3a2610e3_19f4,44982,Creches e Pré-escolas - Brasília - DF - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Estado,DF,BRASÍLIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-47.93 -15.78)),0
creches.fid--370298aa_15b3a2610e3_19f5,44983,Creches e Pré-escolas - Brasília - DF - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Estado,DF,BRASÍLIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-47.93 -15.78)),0
creches.fid--370298aa_15b3a2610e3_19f6,44984,Creches e Pré-escolas - Brasília - DF - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Estado,DF,BRASÍLIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-47.93 -15.78)),0
creches.fid--370298aa_15b3a2610e3_19f7,44985,Creches e Pré-escolas - Brasília - DF - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Estado,DF,BRASÍLIA,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-47.93 -15.78)),0
creches.fid--370298aa_15b3a2610e3_19f8,44986,Creches e Pré-escolas - Brasília - DF - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Estado,DF,BRASÍLIA,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-47.93 -15.78)),0
creches.fid--370298aa_15b3a2610e3_19f9,44988,Creches e Pré-escolas - Brasília - DF - Tipo B,Comunidade Cidadã,Creches e Pré Escolas,Ministério da Educação,Estado,DF,BRASÍLIA,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-47.93 -15.78)),0
