FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
geracao_energia.fid--370298aa_15b3a2610e3_1226,4548,Usina Termonuclear - Angra III - RJ,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Eletrobrás Termonuclear - S.A.,RJ,ANGRA DOS REIS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.46815074540387 -23.00860217500097)),0
geracao_energia.fid--370298aa_15b3a2610e3_1227,46859,Usina Hidrelétrica - Cachoeira Caldeirão - AP,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,EDP - Energias do Brasil S/A,AP,FERREIRA GOMES,--,,Em operação,30 de Junho de 2016,MULTIPOINT ((-51.1799725745175 0.856916351783004)),0
geracao_energia.fid--370298aa_15b3a2610e3_1228,47464,Aproveitamentos Hidrelétricos - Açaipé - B - AP PA,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Empresa de Pesquisa Energética,AP PA,LARANJAL DO JARI/AP- ALMEIRIM/PA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-52.516 -0.842)),0
geracao_energia.fid--370298aa_15b3a2610e3_1229,47465,Aproveitamentos Hidrelétricos - Prainha - AM,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Empresa de Pesquisa Energética,AM,APUÍ- NOVO ARIPUANÃ,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-53.48 -1.8)),0
geracao_energia.fid--370298aa_15b3a2610e3_122a,5639,Aproveitamentos Hidrelétricos - Davinópolis - GO MG,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,CEMIG Geração e Transmissão S.A.- Neoenergia Investimentos S.A.,GO MG,GUARDA-MOR/MG- CATALÃO/GO- DAVINÓPOLIS/GO- ABADIA DOS DOURADOS/MG- COROMANDEL/MG,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-47.516111 -18.209722)),0
geracao_energia.fid--370298aa_15b3a2610e3_122b,5852,Usina Termelétrica a Gás Natural - Sepe Tiaraju - fechamento de ciclo - RS,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Petrobras,RS,CANOAS,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-51.1469 -29.8764)),0
geracao_energia.fid--370298aa_15b3a2610e3_122c,76760,Usina Eólica - Ubatuba - CE,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Energia dos Ventos II S.A.,CE,ARACATI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-37.77 -4.562)),0
geracao_energia.fid--370298aa_15b3a2610e3_122d,76855,Usina Eólica - Itarema V - CE,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Eólica Itarema V S.A.,CE,ITAREMA,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-39.915 -2.92)),0
geracao_energia.fid--370298aa_15b3a2610e3_122e,76709,Usina Hidrelétrica - Salto Apiacás - MT,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Enel Green Power Salto Apiacás S.A,MT,ALTA FLORESTA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-56.086 -9.876)),0
geracao_energia.fid--370298aa_15b3a2610e3_122f,76710,Pequena Central Hidrelétrica - Fazenda Velha - GO,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Energética Fazenda Velha S.A,GO,JATAÍ,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-51.714 -17.881)),0
geracao_energia.fid--370298aa_15b3a2610e3_1230,76711,Pequena Central Hidrelétrica - Cabeça de Boi - MT,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Enel Green Power Cabeça de Boi S.A.,MT,NOVA MONTE VERDE,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-57.535 -9.982)),0
geracao_energia.fid--370298aa_15b3a2610e3_1231,76712,Pequena Central Hidrelétrica - Da Fazenda - MT,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Enel Green Power Fazenda S.A.,MT,NOVA MONTE VERDE,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-57.535 -9.982)),0
geracao_energia.fid--370298aa_15b3a2610e3_1232,76713,Pequena Central Hidrelétrica - Verde 08 - GO,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Verde Vale Energia Ltda.,GO,SANTA HELENA DE GOIÁS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-50.597 -17.814)),0
geracao_energia.fid--370298aa_15b3a2610e3_1233,76714,Pequena Central Hidrelétrica - Ypê - GO,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Santa Helena Energia Ltda.,GO,SANTA HELENA DE GOIÁS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-50.597 -17.814)),0
geracao_energia.fid--370298aa_15b3a2610e3_1234,76715,Pequena Central Hidrelétrica - Cantu 2 - PR,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Cantú Energética S.A.,PR,NOVA CANTU,--,,Em operação,30 de Junho de 2016,MULTIPOINT ((-52.569 -24.673)),0
geracao_energia.fid--370298aa_15b3a2610e3_1235,76716,Pequena Central Hidrelétrica - Santo Cristo - SC,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Eletrosul Centrais Elétricas S/A,SC,LAGES,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-50.326 -27.816)),0
geracao_energia.fid--370298aa_15b3a2610e3_1236,76719,Pequena Central Hidrelétrica - Ado Popinhak - SC,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Companhia Energética Canoas,SC,CURITIBANOS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-50.584 -27.283)),0
geracao_energia.fid--370298aa_15b3a2610e3_1237,76720,Pequena Central Hidrelétrica - Jardim - RS,Energia,Geração de Energia Elétrica,Ministério de Minas e Energia,Hidrelétrica Jardim Ltda.,RS,ANDRÉ DA ROCHA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-51.571 -28.631)),0
