FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
infraturistica.fid--370298aa_15b3a2610e3_16f4,55949,Reforma e ampliação do Centro Cultural e de Exposições Ruth Cardoso - Maceió,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Estado,AL,MACEIÓ,--,,Em obras,30 de Junho de 2016,POINT (-35.735 -9.666),0
infraturistica.fid--370298aa_15b3a2610e3_16f5,55950,Sinalização turística - Marechal Deodoro,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,AL,MARECHAL DEODORO,--,,Em obras,30 de Junho de 2016,POINT (-35.895 -9.71),0
infraturistica.fid--370298aa_15b3a2610e3_16f6,55951,Sinalização turística - Penedo,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-36.586 -10.29),0
infraturistica.fid--370298aa_15b3a2610e3_16f7,55952,Conclusão do Centro de Convenções do Amazonas - Santo Antônio do Iça,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Estado,AM,MANAUS,--,,Em obras,30 de Junho de 2016,POINT (-60.025 -3.102),0
infraturistica.fid--370298aa_15b3a2610e3_16f8,55953,Sinalização turística - Maragogipe,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,BA,MARAGOJIPE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-38.919 -12.778),0
infraturistica.fid--370298aa_15b3a2610e3_16f9,55954,Sinalização turística - Santo Amaro,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,BA,SANTO AMARO,--,,Em obras,30 de Junho de 2016,POINT (-38.712 -12.547),0
infraturistica.fid--370298aa_15b3a2610e3_16fa,55956,Sinalização turística - Sobral,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,CE,SOBRAL,--,,Em execução,30 de Junho de 2016,POINT (-40.239 -3.674),0
infraturistica.fid--370298aa_15b3a2610e3_16fb,55957,Sinalização turística - Aracati,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,CE,ARACATI,--,,Em obras,30 de Junho de 2016,POINT (-37.77 -4.562),0
infraturistica.fid--370298aa_15b3a2610e3_16fc,55958,Construção do Centro de Convenções e Feiras - Pirenópolis,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,GO,PIRENÓPOLIS,--,,Em obras,30 de Junho de 2016,POINT (-48.959 -15.852),0
infraturistica.fid--370298aa_15b3a2610e3_16fd,55959,Sinalização turística - Goiás,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,GO,GOIÁS,--,,Em execução,30 de Junho de 2016,POINT (-50.14 -15.934),0
infraturistica.fid--370298aa_15b3a2610e3_16fe,55960,Sinalização turística - Goiânia,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,GO,GOIÂNIA,--,,Em obras,30 de Junho de 2016,POINT (-49.254 -16.679),0
infraturistica.fid--370298aa_15b3a2610e3_16ff,55961,Sinalização turística - São Luis,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2016,POINT (-44.303 -2.53),0
infraturistica.fid--370298aa_15b3a2610e3_1700,55962,Sinalização turística - Congonhas,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MG,CONGONHAS,--,,Em execução,30 de Junho de 2016,POINT (-43.858 -20.5),0
infraturistica.fid--370298aa_15b3a2610e3_1701,55963,Sinalização turística - Diamantina,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MG,DIAMANTINA,--,,Em obras,30 de Junho de 2016,POINT (-43.6 -18.249),0
infraturistica.fid--370298aa_15b3a2610e3_1702,55964,Sinalização turística - Mariana,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MG,MARIANA,--,,Em obras,30 de Junho de 2016,POINT (-43.416 -20.378),0
infraturistica.fid--370298aa_15b3a2610e3_1703,55965,Sinalização turística - Ouro Preto,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MG,OURO PRETO,--,,Em obras,30 de Junho de 2016,POINT (-43.508 -20.288),0
infraturistica.fid--370298aa_15b3a2610e3_1704,55966,Sinalização turística - Sabará,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MG,SABARÁ,--,,Em obras,30 de Junho de 2016,POINT (-43.807 -19.886),0
infraturistica.fid--370298aa_15b3a2610e3_1705,55967,Sinalização turística - São João Del Rei,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MG,SÃO JOÃO DEL REI,--,,Em obras,30 de Junho de 2016,POINT (-44.262 -21.136),0
infraturistica.fid--370298aa_15b3a2610e3_1706,55968,Sinalização turística - Serro,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MG,SERRO,--,,Em obras,30 de Junho de 2016,POINT (-43.379 -18.605),0
infraturistica.fid--370298aa_15b3a2610e3_1707,55969,Sinalização turística - Corumbá,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,MS,CORUMBÁ,--,,Em obras,30 de Junho de 2016,POINT (-57.653 -19.009),0
infraturistica.fid--370298aa_15b3a2610e3_1708,55970,Sinalização turística - Santarém Novo,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,PA,SANTARÉM NOVO- BELÉM,--,,Em obras,30 de Junho de 2016,POINT (-48.504 -1.456),0
infraturistica.fid--370298aa_15b3a2610e3_1709,55971,Conclusão do Centro de Convenções da Paraíba - Tacima,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Estado,PB,JOÃO PESSOA,--,,Em execução,30 de Junho de 2016,POINT (-34.863 -7.115),0
infraturistica.fid--370298aa_15b3a2610e3_170a,55972,Sinalização turística - João Pessoa,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,PB,JOÃO PESSOA,--,,Concluído,30 de Junho de 2016,POINT (-34.863 -7.115),0
infraturistica.fid--370298aa_15b3a2610e3_170b,55973,Sinalização turística - Fernando de Noronha,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,PE,FERNANDO DE NORONHA,--,,Em obras,30 de Junho de 2016,POINT (-32.411 -3.84),0
infraturistica.fid--370298aa_15b3a2610e3_170c,55974,Construção do Centro de Eventos de Teresina - Aroazes,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Estado,PI,TERESINA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-42.802 -5.089),0
infraturistica.fid--370298aa_15b3a2610e3_170d,55975,Sinalização turística - Parnaíba,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,PI,PARNAÍBA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-41.777 -2.905),0
infraturistica.fid--370298aa_15b3a2610e3_170e,55976,Construção do Centro de Convenções e Feiras de Curitiba - Curitiba,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,PR,CURITIBA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-49.273 -25.428),0
infraturistica.fid--370298aa_15b3a2610e3_170f,55977,Sinalização turística - Antonina,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,PR,ANTONINA,--,,Em obras,30 de Junho de 2016,POINT (-48.712 -25.429),0
infraturistica.fid--370298aa_15b3a2610e3_1710,55978,Sinalização turística - Vassouras,Cidade Melhor,Infraestrutura Turística,Ministério do Turismo,Município,RJ,VASSOURAS,--,,Em execução,30 de Junho de 2016,POINT (-43.663 -22.404),0
