FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
praca.fid--370298aa_15b3a2610e3_75f0,12130,Praças - Gaspar - SC - Modelo 3000m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,SC,GASPAR,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-48.959 -26.931)),0
praca.fid--370298aa_15b3a2610e3_75f1,11829,Praças - Maceió - AL - Modelo 700m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,AL,MACEIÓ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.735 -9.666)),0
praca.fid--370298aa_15b3a2610e3_75f2,11833,Praças - Coari - AM - Modelo 3000m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,AM,COARI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-63.141 -4.085)),0
praca.fid--370298aa_15b3a2610e3_75f3,11834,Praças - Itacoatiara - AM - Modelo 3000m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,AM,ITACOATIARA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-58.444 -3.143)),0
praca.fid--370298aa_15b3a2610e3_75f4,11835,Praças - Manacapuru - AM - Modelo 3000m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,AM,MANACAPURU,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-60.621 -3.3)),0
praca.fid--370298aa_15b3a2610e3_75f5,11838,Praças - Parintins - AM - Modelo 3000m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,AM,PARINTINS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-56.736 -2.628)),0
praca.fid--370298aa_15b3a2610e3_75f6,11841,Praças - Lauro de Freitas - BA - Modelo 3000m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,BA,LAURO DE FREITAS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.327 -12.894)),0
praca.fid--370298aa_15b3a2610e3_75f7,11842,Praças - Alagoinhas - BA - Modelo 3000m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,BA,ALAGOINHAS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.419 -12.136)),0
praca.fid--370298aa_15b3a2610e3_75f8,11843,Praças - Barreiras - BA - Modelo 3000m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,BA,BARREIRAS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.99 -12.153)),0
praca.fid--370298aa_15b3a2610e3_75f9,11844,Praças - Camaçari - BA - Modelo 3000m²,Comunidade Cidadã,Centro de Artes e Esportes Unificados,Ministério da Cultura,Município,BA,CAMAÇARI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.324 -12.698)),0
