FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
prevencao_risco.fid--370298aa_15b3a2610e3_694c,44620,Obras de macrodrenagem nas bacias dos Rios Bengalas- Córrego D'Antas e Rio Grande em Nova Friburgo - Nova Friburgo - RJ,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,RJ,NOVA FRIBURGO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-42.5381061213505 -22.293718576743597),0
prevencao_risco.fid--370298aa_15b3a2610e3_694d,44621,Intervenções hidráulicas para controle de cheias no Rio Meudon com implantação de seção hidráulica para alargamento da calha do rio - Teresópolis - RJ,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,RJ,TERESÓPOLIS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-42.9756083485854 -22.416958081677397),0
prevencao_risco.fid--370298aa_15b3a2610e3_694e,44622,Drenagem - ampliação da calha do Rio Betim- adequação da confluencia dos Rios Betim e Areias- microdrenagem - Betim - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,BETIM,--,,Em obras,30 de Junho de 2016,POINT (-44.201197025532004 -19.9673053263778),0
prevencao_risco.fid--370298aa_15b3a2610e3_694f,44623,Requalificação urbana do Ribeirão Arrudas - 2ª etapa - Contagem- Belo Horizonte - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,CONTAGEM- BELO HORIZONTE,--,,Em obras,30 de Junho de 2016,POINT (-44.05293800181738 -19.93855999642902),0
prevencao_risco.fid--370298aa_15b3a2610e3_6950,44623,Requalificação urbana do Ribeirão Arrudas - 2ª etapa - Contagem- Belo Horizonte - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,CONTAGEM- BELO HORIZONTE,--,,Em obras,30 de Junho de 2016,POINT (-43.93589664666114 -19.91791789240214),0
prevencao_risco.fid--370298aa_15b3a2610e3_6951,44624,Drenagem - ampliação da calha e reservatórios de amortecimento - Bacia do Córrego Riacho das Pedras - Contagem- Belo Horizonte - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,CONTAGEM- BELO HORIZONTE,--,,Em obras,30 de Junho de 2016,POINT (-44.054 -19.932),0
prevencao_risco.fid--370298aa_15b3a2610e3_6952,44624,Drenagem - ampliação da calha e reservatórios de amortecimento - Bacia do Córrego Riacho das Pedras - Contagem- Belo Horizonte - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,CONTAGEM- BELO HORIZONTE,--,,Em obras,30 de Junho de 2016,POINT (-43.956 -19.817),0
prevencao_risco.fid--370298aa_15b3a2610e3_6953,44625,Drenagem - ampliaação da calha- muros-diques- avenidas sanitárias e barragem de retenção - Bacias dos Rios Muriaé e Preto - Muriaé - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,MG,MURIAÉ,--,,Em obras,30 de Junho de 2016,POINT (-42.3697133261213 -21.1304539037473),0
prevencao_risco.fid--370298aa_15b3a2610e3_6954,44742,Obras de Contenção de encostas em Petrópolis - Intervenção em setores de risco Alto e Muito Alto - Petrópolis - RJ,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Estado,RJ,PETRÓPOLIS,--,,Em obras,30 de Junho de 2016,POINT (-43.179 -22.505),0
prevencao_risco.fid--370298aa_15b3a2610e3_6955,44743,Obras de Contenção de encostas em Belo Horizonte - Intervenção em setores de risco Alto e Muito Alto - Belo Horizonte - MG,Cidade Melhor,Prevenção em áreas de risco,Ministério das Cidades,Município,MG,BELO HORIZONTE,--,,Em obras,30 de Junho de 2016,POINT (-43.956 -19.817),0
