FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
ubs.fid--370298aa_15b3a2610e3_7f3e,39303,Itamari - BA - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,ITAMARI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-39.6833290816447 -13.778641938637898)),0
ubs.fid--370298aa_15b3a2610e3_7f3f,39303,Itamari - BA - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,ITAMARI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-39.6833290816447 -13.778641938637898)),0
ubs.fid--370298aa_15b3a2610e3_7f40,39308,Itapebi - BA - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,ITAPEBI,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-39.533235479729896 -15.9555274139953)),0
ubs.fid--370298aa_15b3a2610e3_7f41,39308,Itapebi - BA - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,ITAPEBI,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-39.533235479729896 -15.9555274139953)),0
ubs.fid--370298aa_15b3a2610e3_7f42,39832,Pacajus - CE - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,PACAJUS,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-38.465337970242395 -4.171453210114169)),0
ubs.fid--370298aa_15b3a2610e3_7f43,39832,Pacajus - CE - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,PACAJUS,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-38.465337970242395 -4.171453210114169)),0
ubs.fid--370298aa_15b3a2610e3_7f44,39833,Pacajus - CE - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,PACAJUS,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-38.465337970242395 -4.171453210114169)),0
ubs.fid--370298aa_15b3a2610e3_7f45,39833,Pacajus - CE - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,PACAJUS,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-38.465337970242395 -4.171453210114169)),0
ubs.fid--370298aa_15b3a2610e3_7f46,38786,Brasiléia - AC - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,AC,BRASILÉIA,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-68.7502574826295 -10.9953794950011)),0
ubs.fid--370298aa_15b3a2610e3_7f47,38786,Brasiléia - AC - Ampliação - UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,AC,BRASILÉIA,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-68.7502574826295 -10.9953794950011)),0
