FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
upa.fid--370298aa_15b3a2610e3_7935,38655,Maracanaú - CE - Maracanaú - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,MARACANAÚ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.6262522337162 -3.86736769093338)),0
upa.fid--370298aa_15b3a2610e3_7936,38655,Maracanaú - CE - Maracanaú - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,MARACANAÚ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.6262522337162 -3.86736769093338)),0
upa.fid--370298aa_15b3a2610e3_7937,38656,Morada Nova - CE - Morada Nova - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,MORADA NOVA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.370507602476 -5.09774766500025)),0
upa.fid--370298aa_15b3a2610e3_7938,38656,Morada Nova - CE - Morada Nova - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,MORADA NOVA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.370507602476 -5.09774766500025)),0
upa.fid--370298aa_15b3a2610e3_7939,38657,Pacatuba - CE - Pacatuba - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,PACATUBA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.61864721445149 -3.97877459203739)),0
upa.fid--370298aa_15b3a2610e3_793a,38657,Pacatuba - CE - Pacatuba - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,PACATUBA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.61864721445149 -3.97877459203739)),0
upa.fid--370298aa_15b3a2610e3_793b,38658,Tianguá - CE - Tianguá - CE - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,TIANGUÁ,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-40.992657335965404 -3.73002060689663)),0
upa.fid--370298aa_15b3a2610e3_793c,38658,Tianguá - CE - Tianguá - CE - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,TIANGUÁ,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-40.992657335965404 -3.73002060689663)),0
upa.fid--370298aa_15b3a2610e3_793d,38659,Trairi - CE - Trairi - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,TRAIRI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-39.2684825355442 -3.26969562213059)),0
upa.fid--370298aa_15b3a2610e3_793e,38659,Trairi - CE - Trairi - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,TRAIRI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-39.2684825355442 -3.26969562213059)),0
upa.fid--370298aa_15b3a2610e3_793f,38654,Icó - CE - Icó - CE - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Município,CE,ICÓ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-38.855706609302196 -6.39666855296025)),0
upa.fid--370298aa_15b3a2610e3_7940,38631,Arapiraca - AL - Arapiraca - AL - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,AL,ARAPIRACA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-36.6618091422466 -9.75529107110955)),0
upa.fid--370298aa_15b3a2610e3_7941,38631,Arapiraca - AL - Arapiraca - AL - UPA II,Comunidade Cidadã,UPA,Ministério da Saúde,Município,AL,ARAPIRACA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-36.6618091422466 -9.75529107110955)),0
upa.fid--370298aa_15b3a2610e3_7942,38632,São Miguel dos Campos - AL - São Miguel dos Campos - AL - UPA I,Comunidade Cidadã,UPA,Ministério da Saúde,Estado,AL,SÃO MIGUEL DOS CAMPOS,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-36.09747509609959 -9.78343584040173)),0
