FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count,type,responsable,uf_code,stages
aeroporto.fid--370298aa_15b3a2610e3_-7722,1337,Aeroporto Porto Alegre - Ampliação da Pista de Pouso e Decolagem,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RS,PORTO ALEGRE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-51.1711111111111 -29.9938888888889)),0,1,1,1,1
aeroporto.fid--370298aa_15b3a2610e3_-7721,1441,Aeroporto Cuiabá - Reforma e Ampliação do Terminal de Passageiros- Adequação do Sistema Viário e Construção de Estacionamento,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,MT,CUIABÁ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-56.11941388888889 -15.65030833333333)),0,1,1,2,2
aeroporto.fid--370298aa_15b3a2610e3_-7720,1460,Aeroporto Porto Alegre - Novo Terminal de Cargas,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RS,PORTO ALEGRE,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-51.18180188932326 -29.99081962410535)),0,1,1,1,2
aeroporto.fid--370298aa_15b3a2610e3_-771f,1461,Aeroporto de Vitória - Novo Terminal de Cargas do SBVT,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,ES,VITÓRIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,MULTIPOINT ((-40.2868 -20.2604)),0,1,1,3,1
aeroporto.fid--370298aa_15b3a2610e3_-771e,1462,Aeroporto de Macapá - Novo TPS e obras complementares,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,AP,MACAPÁ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-51.0702777777778 0.050833333333333)),0,1,1,4,2
aeroporto.fid--370298aa_15b3a2610e3_-771d,1463,Aeroporto Goiânia - Novo Terminal de Passageiros- Pátio de Aeronaves- Pistas de Taxi- Estacionamento de Veículos e Sistema Viário,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,GO,GOIÂNIA,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-49.2137888888889 -16.62993611111111)),0,1,1,5,3
aeroporto.fid--370298aa_15b3a2610e3_-771c,1464,Aeroporto Florianópolis - Novo Terminal de Passageiros,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,SC,FLORIANÓPOLIS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.5522222222222 -27.6702777777778)),0,1,1,6,2
aeroporto.fid--370298aa_15b3a2610e3_-771b,1465,Aeroporto de Vitória - Novo Complexo Aeroportuário do SBVT,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,ES,VITÓRIA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-40.28684267672301 -20.26035853009049)),0,1,1,3,2
aeroporto.fid--370298aa_15b3a2610e3_-771a,15390,Aeroporto Galeão - Reforma do TPS 2 (Sistema de Transporte de Bagagens),Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RJ,RIO DE JANEIRO,--,,Em execução,30 de Junho de 2016,MULTIPOINT ((-43.251 -22.8107)),0,1,1,7,4
aeroporto.fid--370298aa_15b3a2610e3_-7719,31602,Aeroporto Florianópolis - Infraestrutura para Novo Complexo Aeroportuário,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,SC,FLORIANÓPOLIS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.55222222222221 -27.6702777777778)),0,1,1,6,2
aeroporto.fid--370298aa_15b3a2610e3_-7718,44710,Aeroporto de Porto Alegre - Ampliação do Sistema de Pátios e Pistas de Táxi,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,RS,PORTO ALEGRE,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-51.18180188932326 -29.99081962410535)),0,1,1,1,3
aeroporto.fid--370298aa_15b3a2610e3_-7717,46848,Aeroporto São Luís - Ampliação do Terminal de Passageiros,Transportes,Aeroporto,Empresa Brasileira de Infraestrutura Aeroportuária,Infraero,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-44.23639480944128 -2.583774625406683)),0,1,1,8,2
