CD_EQUI,CD_LOCAL,CD_TEMA,DS_TEMA,CD_TP_EQUIPAMENTO,DS_TP_EQUIPAMENTO,CD_SUBTIPO_EQUIPAMENTO,DS_SUBTIPO_EQUIPAMENTO,CD_DEP_ADMINISTRATIVA,DS_DEP_ADMINISTRATIVA,NM_EQUI,NM_ABREV_EQUI,CD_FONTE,FONTE_FONTE,CD_RUA,NM_RUA,CD_RUANAOOFICIAL,NM_RUANAOOFICIAL,NUMERO_EQUI,COMPLEMENTO_EQUI,CD_BAIRRO,NM_BAIRRO,QUADRICULA_BQ,CD_REGIONAL,NM_REGIONAL,LAT_SIRGAS,LON_SIRGAS,FUNCIONAMENTO_MANHA_EQUI,FUNCIONAMENTO_TARDE_EQUI,FUNCIONAMENTO_NOITE_EQUI,FUNCIONAMENTO_24HRS_EQUI,TELEFONE_EQUI,RAMAL_EQUI,EMAIL_EQUI,SITE_EQUI,FAX_EQUI
4.352,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,3,Publico Municipal,UNI?O PARANAENSE DE ESTUDANTES,Uni?o Paranaense de Estudantes,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C026,R. PRES. CARLOS CAVALCANTI,,,1157,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.353,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. TREZE DE MAIO, 928",173,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,928,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.354,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. TREZE DE MAIO, 940",174,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,940,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.355,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,COLEGIO MARTINUS,Colegio Martinus,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C026,R. PRES. CARLOS CAVALCANTI,,,999,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.357,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,CLUBE CONCORDIA,Clube Concordia,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C026,R. PRES. CARLOS CAVALCANTI,,,815,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.358,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,ANTIGO TEATRO HAUER,Antigo Teatro Hauer,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,N008,R. MATEUS LEME,,,127,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.359,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,1,Publico Federal,"R. TREZE DE MAIO, 644",168,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,644,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.360,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. TREZE DE MAIO, 680",170,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,680,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.362,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. TREZE DE MAIO, 568",165,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C024,R. TREZE DE MAIO,,,568,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
4.363,,4,PATRIMONIO HISTORICO EDIFICADO,27,Unidade de Interesse de Preservac?o,2,Arquitetura Ecletica,11,Particular,"R. PRES. CARLOS CAVALCANTI, 669",45,133,Instituto de Pesquisa e Planejamento Urbano de Curitiba,C026,R. PRES. CARLOS CAVALCANTI,,,669,,2,S?o Francisco,J12,1,Matriz,-25,-49,0,0,0,0,,,,,
