FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
centroiniciacao.fid--370298aa_15b3a2610e3_711d,75898,Centro de Iniciação ao Esporte - Salvador - BA - Modelo I,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,BA,SALVADOR,--,,Em execução,30 de Junho de 2016,POINT (-38.511 -12.971),0
centroiniciacao.fid--370298aa_15b3a2610e3_711e,75899,Centro de Iniciação ao Esporte - Goiânia - GO - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,GO,GOIÂNIA,--,,Em execução,30 de Junho de 2016,POINT (-49.254 -16.679),0
centroiniciacao.fid--370298aa_15b3a2610e3_711f,75900,Centro de Iniciação ao Esporte - Teresina - PI - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,PI,TERESINA,--,,Em obras,30 de Junho de 2016,POINT (-42.802 -5.089),0
centroiniciacao.fid--370298aa_15b3a2610e3_7120,75868,Centro de Iniciação ao Esporte - Belém - PA - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,PA,BELÉM,--,,Em execução,30 de Junho de 2016,POINT (-48.504 -1.456),0
centroiniciacao.fid--370298aa_15b3a2610e3_7121,75869,Centro de Iniciação ao Esporte - Belém - PA - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,PA,BELÉM,--,,Em execução,30 de Junho de 2016,POINT (-48.504 -1.456),0
centroiniciacao.fid--370298aa_15b3a2610e3_7122,75870,Centro de Iniciação ao Esporte - São Luís - MA - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,MA,SÃO LUÍS,--,,Em execução,30 de Junho de 2016,POINT (-44.303 -2.53),0
centroiniciacao.fid--370298aa_15b3a2610e3_7123,75871,Centro de Iniciação ao Esporte - Fortaleza - CE - Modelo I,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,CE,FORTALEZA,--,,Em execução,30 de Junho de 2016,POINT (-38.543 -3.717),0
centroiniciacao.fid--370298aa_15b3a2610e3_7124,75872,Centro de Iniciação ao Esporte - Fortaleza - CE - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,CE,FORTALEZA,--,,Em execução,30 de Junho de 2016,POINT (-38.543 -3.717),0
centroiniciacao.fid--370298aa_15b3a2610e3_7125,75873,Centro de Iniciação ao Esporte - Fortaleza - CE - Modelo I,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,CE,FORTALEZA,--,,Em execução,30 de Junho de 2016,POINT (-38.543 -3.717),0
centroiniciacao.fid--370298aa_15b3a2610e3_7126,75875,Centro de Iniciação ao Esporte - São Luís - MA - Modelo I,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,MA,SÃO LUÍS,--,,Em execução,30 de Junho de 2016,POINT (-44.303 -2.53),0
centroiniciacao.fid--370298aa_15b3a2610e3_7127,75877,Centro de Iniciação ao Esporte - Maceió - AL - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,AL,MACEIÓ,--,,Em execução,30 de Junho de 2016,POINT (-35.735 -9.666),0
centroiniciacao.fid--370298aa_15b3a2610e3_7128,75879,Centro de Iniciação ao Esporte - Campinas - SP - Modelo I,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,SP,CAMPINAS,--,,Em execução,30 de Junho de 2016,POINT (-47.061 -22.906),0
centroiniciacao.fid--370298aa_15b3a2610e3_7129,75880,Centro de Iniciação ao Esporte - Brasília - DF - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Governo do Distrito Federal - GDF,DF,BRASÍLIA,--,,Em execução,30 de Junho de 2016,POINT (-47.93 -15.78),0
centroiniciacao.fid--370298aa_15b3a2610e3_712a,75881,Centro de Iniciação ao Esporte - Aracaju - SE - Modelo III,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,SE,ARACAJU,--,,Em execução,30 de Junho de 2016,POINT (-37.072 -10.911),0
centroiniciacao.fid--370298aa_15b3a2610e3_712b,75883,Centro de Iniciação ao Esporte - Natal - RN - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,RN,NATAL,--,,Em execução,30 de Junho de 2016,POINT (-35.209 -5.795),0
centroiniciacao.fid--370298aa_15b3a2610e3_712c,75886,Centro de Iniciação ao Esporte - Brasília - DF - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Governo do Distrito Federal - GDF,DF,BRASÍLIA,--,,Em execução,30 de Junho de 2016,POINT (-47.93 -15.78),0
centroiniciacao.fid--370298aa_15b3a2610e3_712d,75889,Centro de Iniciação ao Esporte - Feira de Santana - BA - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,BA,FEIRA DE SANTANA,--,,Em obras,30 de Junho de 2016,POINT (-38.967 -12.267),0
centroiniciacao.fid--370298aa_15b3a2610e3_712e,75891,Centro de Iniciação ao Esporte - Curitiba - PR - Modelo I,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,PR,CURITIBA,--,,Em execução,30 de Junho de 2016,POINT (-49.273 -25.428),0
centroiniciacao.fid--370298aa_15b3a2610e3_712f,75892,Centro de Iniciação ao Esporte - Jaboatão dos Guararapes - PE - Modelo II,Comunidade Cidadã,Centro de Iniciação ao Esporte,Ministério do Esporte,Município,PE,JABOATÃO DOS GUARARAPES,--,,Em execução,30 de Junho de 2016,POINT (-35.015 -8.113),0
