FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
cidadesdigitais.fid--370298aa_15b3a2610e3_663a,65344,Cidade Digital no município de Tarauacá/AC,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AC,TARAUACÁ,--,,estagio 42,30 de Junho de 2016,POINT (-70.766 -8.161),0
cidadesdigitais.fid--370298aa_15b3a2610e3_663b,65345,Cidade Digital no município de Estrela de Alagoas/AL,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AL,ESTRELA DE ALAGOAS,--,,estagio 42,30 de Junho de 2016,POINT (-36.76 -9.39),0
cidadesdigitais.fid--370298aa_15b3a2610e3_663c,65346,Cidade Digital no município de Delmiro Gouveia/AL,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AL,DELMIRO GOUVEIA,--,,estagio 42,30 de Junho de 2016,POINT (-37.996 -9.386),0
cidadesdigitais.fid--370298aa_15b3a2610e3_663d,65347,Cidade Digital no município de Autazes/AM,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AM,AUTAZES,--,,estagio 42,30 de Junho de 2016,POINT (-59.131 -3.58),0
cidadesdigitais.fid--370298aa_15b3a2610e3_663e,65348,Cidade Digital no município de Maraã/AM,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AM,MARAÃ,--,,estagio 42,30 de Junho de 2016,POINT (-65.581 -1.856),0
cidadesdigitais.fid--370298aa_15b3a2610e3_663f,65349,Cidade Digital no município de Benjamin Constant/AM,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AM,BENJAMIN CONSTANT,--,,estagio 42,30 de Junho de 2016,POINT (-70.031 -4.383),0
cidadesdigitais.fid--370298aa_15b3a2610e3_6640,65350,Cidade Digital no município de Iranduba/AM,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AM,IRANDUBA,--,,estagio 42,30 de Junho de 2016,POINT (-60.186 -3.285),0
cidadesdigitais.fid--370298aa_15b3a2610e3_6641,65351,Cidade Digital no município de Careiro/AM,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AM,CAREIRO,--,,estagio 42,30 de Junho de 2016,POINT (-60.369 -3.768),0
cidadesdigitais.fid--370298aa_15b3a2610e3_6642,65352,Cidade Digital no município de Codajás/AM,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AM,CODAJÁS,--,,estagio 42,30 de Junho de 2016,POINT (-62.057 -3.837),0
cidadesdigitais.fid--370298aa_15b3a2610e3_6643,65353,Cidade Digital no município de Amapá/AP,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AP,AMAPÁ,--,,estagio 42,30 de Junho de 2016,POINT (-50.793 2.053),0
cidadesdigitais.fid--370298aa_15b3a2610e3_6644,65354,Cidade Digital no município de Laranjal do Jari/AP,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AP,LARANJAL DO JARI,--,,estagio 42,30 de Junho de 2016,POINT (-52.516 -0.842),0
cidadesdigitais.fid--370298aa_15b3a2610e3_6645,65355,Cidade Digital no município de Mazagão/AP,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AP,MAZAGÃO,--,,estagio 42,30 de Junho de 2016,POINT (-51.289 -0.115),0
cidadesdigitais.fid--370298aa_15b3a2610e3_6646,65356,Cidade Digital no município de Porto Grande/AP,Cidade Melhor,Cidades Digitais,Ministério das Comunicações,Governo Federal,AP,PORTO GRANDE,--,,estagio 42,30 de Junho de 2016,POINT (-51.413 0.713),0
