FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
cidadeshistoricas.fid--370298aa_15b3a2610e3_6142,65002,Requalificação da Praça do Menino Deus,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,,Em execução,30 de Junho de 2016,POINT (-40.239 -3.674),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6143,65003,Restauração do Abrigo Sagrado Coração de Jesus,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,,Em execução,30 de Junho de 2016,POINT (-40.239 -3.674),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6144,65072,Restauração do antigo Diamantina Tênis Club,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,DIAMANTINA,--,,Em execução,30 de Junho de 2016,POINT (-43.6 -18.249),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6145,65000,Restauração da Casa Mendes Carneiro - implantação da Casa do Professor,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,,Em execução,30 de Junho de 2016,POINT (-40.239 -3.674),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6146,65001,Restauração da Igreja do Menino Deus,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,,Em execução,30 de Junho de 2016,POINT (-40.239 -3.674),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6147,64938,Restauração do Pavilhão Universal - desmontagem e retirada da Praça Tenreiro Aranha para implantação na Praça Adalberto Vale,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,,Em execução,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6148,64917,Restauração do Teatro Sete de Setembro,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Em obras,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6149,64918,Restauração do Cine Penedo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_614a,64919,Restauração do Casarão do Montepio dos Artistas,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Concluído,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_614b,64920,Restauração do Círculo Operário - Escola de Santeiros,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Concluído,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_614c,64921,Restauração do Casarão da Biblioteca de Penedo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Concluído,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_614d,64922,Restauração dos galpões da orla do rio  - implantação da  Escola Náutica- Oficina e Marina Pública,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Em obras,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_614e,64923,Implantação do Museu de Lapinhas e religiosidade - Igreja  de S. Gonçalo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_614f,64924,Restauração da Casa São Francisco - Implantação do Conservatório de Música,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6150,64925,Restauração do Chalet dos Loureiros - Implantação do Centro de Referência do São Francisco,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6151,64926,Requalificação urbanística do Largo de S. Gonçalo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Em obras,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6152,64927,Recuperação do Cais da Marina de Penedo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Em execução,30 de Junho de 2016,POINT (-36.586 -10.29),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6153,64928,Requalificação do Largo da Igreja Nosso Senhor do Bonfim,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,POINT (-35.895 -9.71),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6154,64929,Requalificação do Largo da Igreja da Matriz,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,POINT (-35.895 -9.71),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6155,64930,Requalificação do Largo da Igreja do Carmo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,MARECHAL DEODORO,--,,Em obras,30 de Junho de 2016,POINT (-35.895 -9.71),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6156,64931,Restauração da Ordem 3ª de São Francisco - implantação do Conservatório de Música,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-35.895 -9.71),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6157,64932,Restauração da Igreja de N.S. do Carmo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-35.895 -9.71),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6158,64933,Restauração da Igreja de N.S. do Rosário,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-35.895 -9.71),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6159,64934,Restauração da Igreja do Amparo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-35.895 -9.71),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_615a,64935,Restauração do Museu de Arte Sacra - Convento,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,MARECHAL DEODORO,--,,Em execução,30 de Junho de 2016,POINT (-35.895 -9.71),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_615b,64936,Requalificação urbanística da Praça XV de Novembro- jardins- entorno e restauração do Relógio Municipal (escadaria-  trecho da Av. Eduardo Ribeiro- entre a av. 7 de Setembro e Alfândega) -,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,,Em obras,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_615c,64937,Requalificação urbanística da  Praça Adalberto Vale - acessibilidade- iluminação- sinalização e paisagismo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,,Em obras,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_615d,64939,Requalificação urbanística da Praça Terneiro Aranha  -acessibilidade- iluminação- sinalização- mobiliario urbano e paisagismo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,,Em obras,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_615e,64940,Requalificação urbanística da Praça D. Pedro II - Chafariz e Coreto- drenagem- irrigação- pavimentação- sinalização- mobiliário urbano e paisagismo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_615f,64941,Requalificação urbanística do entorno do Mercado Municipal Adolpho Lisboa - recuperação da pavimentação- acessibilidade- iluminação- sinalização- mobiliario urbano e paisagismo (ruas dos Barés- Barão de São Domingos- Miranda Leão- Av. Manaus Moderna e Pça do Mercado,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,,Em obras,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6160,64942,Restauração do Casarão da Biblioteca Municipal,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6161,64943,Restauração da Antiga Câmara Municipal,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6162,64944,Restauração do Antigo Hotel Cassina - implantação do Centro de Arte Popular,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,,Em execução,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6163,64945,Restauração do Antigo edifício do Corpo de Bombeiros - implantação da Pinacoteca Municipal,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-60.025 -3.102),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6164,64946,Restauração da Biblioteca Juracy Magalhães Júnior,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,,Em execução,30 de Junho de 2016,POINT (-38.679 -12.888),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6165,64947,Restauração da Igreja Matriz do Santíssimo Sacramento,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,,Em execução,30 de Junho de 2016,POINT (-38.679 -12.888),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6166,64948,Requalificação urbanística da Praça do Mercado,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,,Em execução,30 de Junho de 2016,POINT (-38.679 -12.888),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6167,64949,Restauração do Píer de Atracação - Forte de São Lourenço,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,,Em execução,30 de Junho de 2016,POINT (-38.679 -12.888),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6168,64950,Restauração da Igreja de São Lourenço,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,,Em execução,30 de Junho de 2016,POINT (-38.679 -12.888),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6169,64951,Restauração da Antiga Casa de Câmara e Cadeia,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOJIPE,--,,Em execução,30 de Junho de 2016,POINT (-38.919 -12.778),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_616a,64952,Restauração da Igreja Matriz de S. Bartolomeu,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOJIPE,--,,Em execução,30 de Junho de 2016,POINT (-38.919 -12.778),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_616b,64953,Restauração do Casarão da Filarmônica Terpcícore Popular,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOJIPE,--,,Em execução,30 de Junho de 2016,POINT (-38.919 -12.778),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_616c,64954,Restauração do Antigo Casarão da Filarmônica Dois de Julho - Implantação do Museu do Carnaval,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOJIPE,--,,Em execução,30 de Junho de 2016,POINT (-38.919 -12.778),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_616d,64955,Restauração do Casarão no Largo da Matriz- 41 - implantação do Memorial Osvaldo Sá,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,MARAGOJIPE,--,,Em execução,30 de Junho de 2016,POINT (-38.919 -12.778),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_616e,64956,Restauração da antiga fábrica Trzan - implantação de Campus da UFRB,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-38.712 -12.547),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_616f,64957,Restauração da Igreja Matriz de Nossa senhora da Purificação,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,,Em execução,30 de Junho de 2016,POINT (-38.712 -12.547),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6170,64958,Restauração da Antiga Casa de Câmara e Cadeia,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,,Em execução,30 de Junho de 2016,POINT (-38.712 -12.547),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6171,64959,Restauração do Mercado e requalificação da Feira - Bembé do Mercado,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,,Em execução,30 de Junho de 2016,POINT (-38.712 -12.547),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6172,64960,Restauração da Igreja do Rosário,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,,Em execução,30 de Junho de 2016,POINT (-38.712 -12.547),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6173,64961,Restauração do Arquivo Público,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,,Em execução,30 de Junho de 2016,POINT (-38.712 -12.547),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6174,64962,Restauração da Igreja do Amparo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SANTO AMARO,--,,Em execução,30 de Junho de 2016,POINT (-38.712 -12.547),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6175,64963,Restauração da Igreja do Santíssimo Sacramento da Rua do Passo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,,Em obras,30 de Junho de 2016,POINT (-38.511 -12.971),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6176,64964,Restauração da Igreja de Nossa Senhora da Saúde e Glória,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,,Em execução,30 de Junho de 2016,POINT (-38.511 -12.971),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6177,64965,Restauração da Catedral Basílica,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,,Em obras,30 de Junho de 2016,POINT (-38.511 -12.971),0
cidadeshistoricas.fid--370298aa_15b3a2610e3_6178,64966,Restauração da Igreja da Ordem Terceira de São Domingos,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,SALVADOR,--,,Em obras,30 de Junho de 2016,POINT (-38.511 -12.971),0
