FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
esporterendimento.fid--370298aa_15b3a2610e3_70ba,64840,Centro Olímpico de Treinamento do Nordeste Brasileiro,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Estado,CE,FORTALEZA,--,,Em obras,30 de Junho de 2016,POINT (-38.543 -3.717),0
esporterendimento.fid--370298aa_15b3a2610e3_70bb,64841,Centro Paraolímpico Brasileiro,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Estado,SP,SÃO PAULO,--,,Concluído,30 de Junho de 2016,POINT (-46.636 -23.548),0
esporterendimento.fid--370298aa_15b3a2610e3_70bc,65606,Velódromo de Pinhais/PR,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Município,PR,SÃO JOSÉ DOS PINHAIS,--,,Em obras,30 de Junho de 2016,POINT (-49.206 -25.535),0
esporterendimento.fid--370298aa_15b3a2610e3_70bd,65607,Parque Olímpico da Barra - Infraestrutura de Alimentação de Energia Eletrica para Realização dos Jogos Olimpicos e Paralímpicos,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Governo Federal- Ministério de Minas e Energia,RJ,RIO DE JANEIRO,--,,Concluído,30 de Junho de 2016,POINT (-49.206 -25.535),0
esporterendimento.fid--370298aa_15b3a2610e3_70be,65705,Domínio comum do Pentatlo Moderno,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Município,RJ,RIO DE JANEIRO,--,,Em obras,30 de Junho de 2016,POINT (-43.208 -22.903),0
esporterendimento.fid--370298aa_15b3a2610e3_70bf,65706,Domínio comum do Parque Radical,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Município,RJ,RIO DE JANEIRO,--,,Em obras,30 de Junho de 2016,POINT (-43.208 -22.903),0
esporterendimento.fid--370298aa_15b3a2610e3_70c0,65707,Projetos de Legado Urbano - Domínio Urbano de Deodoro,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Município,RJ,RIO DE JANEIRO,--,,Em obras,30 de Junho de 2016,POINT (-43.208 -22.903),0
esporterendimento.fid--370298aa_15b3a2610e3_70c1,65708,Reversão Terreno do Maracanã,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Estado- Município,RJ,RIO DE JANEIRO,--,,Em obras,30 de Junho de 2016,POINT (-43.208 -22.903),0
esporterendimento.fid--370298aa_15b3a2610e3_70c2,65686,Autódromo do Rio de Janeiro,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Estado- Município,RJ,RIO DE JANEIRO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2016,POINT (-43.208 -22.903),0
esporterendimento.fid--370298aa_15b3a2610e3_70c3,65687,Centro Olímpico de Deodoro - Centro de Hóquei sobre Grama,Cidade Melhor,Equipamentos de Esporte de Alto Rendimento,Ministério do Esporte,Município,RJ,RIO DE JANEIRO,--,,Em obras,30 de Junho de 2016,POINT (-43.208 -22.903),0
