FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
pavimentacao.fid--370298aa_15b3a2610e3_-7a77,29769,Pavimentação das vias dos bairros: Vila Ribeiro- Conj. Habitacional Alvaro de Abreu e Jardim Bela Manhã - Santo Antônio da Platina - PR,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,PR,SANTO ANTÔNIO DA PLATINA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-50.077 -23.295)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a76,29771,Consolidação de vias de escoamento rápido- com pavimentação e drenagem urbana. Área de intervenção: Vila Maria e Bairro Humaitá - Rio Grande - RS,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,RS,RIO GRANDE,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-52.099 -32.035)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a75,29780,Execução de Pavimentação- Drenagem e Ciclofaixa em diversas ruas nos bairros Jd Sol Nascente e Jd Bandeirante - Ribeirão Pires - SP,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,SP,RIBEIRÃO PIRES,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-46.413 -23.711)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a74,29781,Execução de redes de microdrenagem de águas pluviais no interior das quadras ARSO 33- ARSO 34 e ARSO 43 e pavimentação asfáltica no interior das mesmas e nas vias arteriais de acesso as mesmas que interligam o sistema de tráfego municipal - Palmas - TO,Cidade Melhor,Pavimentação,Ministério das Cidades,Estado,TO,PALMAS,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.333 -10.167)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a73,29782,Execução de serviços da melhoria da mobilidade compreendendo serviços preliminares- terraplanagem- drenagem- pavimentação e sinalização dos bairros Forquilhas- Ipiranga e Sertão do Imaruí - São José - SC,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,SC,SÃO JOSÉ,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.628 -27.615)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a72,29783,Implantação de galerias de águas pluviais- guias- sarjetas- acessibilidade- pavimentação- calçadas e sinalização no Bairro Bom Sucesso - Rio Claro - SP,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,SP,RIO CLARO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-47.561 -22.411)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a71,29784,Implantação de galerias de águas pluviais- guias- sarjetas- acessibilidade- pavimentação- calçadas e sinalização no Bairro Terra Nova - Rio Claro - SP,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,SP,RIO CLARO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-47.561 -22.411)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a70,29785,Implantação de galerias de águas pluviais- guias- sarjetas- acessibilidade- pavimentação- calçadas e sinalização no Jardim Centenário - Rio Claro - SP,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,SP,RIO CLARO,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-47.561 -22.411)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a6f,29789,Pavimentação  Drenagem de águas pluviais- passeios e sinalização  nos Bairros: Pq Suburbano-  Jd Nova Itapevi e Jd Paulista - Itapevi - SP,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,SP,ITAPEVI,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-46.934 -23.549)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a6e,29790,Pavimentação - Drenagem de águas pluviais- passeios e sinalização  nos Bairros: Ambuitá- PQ Miraflores- VL Olímpia e VL São Francisco - Itapevi - SP,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,SP,ITAPEVI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-46.934 -23.549)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a6d,29791,Pavimentação asfáltica e drenagem nas Ruas José Masson e em trechos da Rua Natal Masson e da Avenida José Agostinho Rossi- e nos Residenciais Jandaia II- Portal da Pérola II- Quemil- Monte Líbano- Ipê- Aurora e São Bráz - Birigui - SP,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,SP,BIRIGUI,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-50.34 -21.289)),0
pavimentacao.fid--370298aa_15b3a2610e3_-7a6c,29792,Pavimentação asfáltica- drenagem - calçadas- ciclovia - sinalização vertical e horizontal - Jaraguá do Sul - SC,Cidade Melhor,Pavimentação,Ministério das Cidades,Município,SC,JARAGUÁ DO SUL,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-49.067 -26.486)),0
