FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
quadra.fid--370298aa_15b3a2610e3_-6798,12252,Quadras Esportivas nas Escolas - Itaíba - PE - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PE,ITAÍBA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-37.4208333333333 -8.94666666666667)),0
quadra.fid--370298aa_15b3a2610e3_-6797,12270,Quadras Esportivas nas Escolas - Vila Nova dos Martírios - MA - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MA,VILA NOVA DOS MARTÍRIOS,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-48.1347222222222 -5.1875)),0
quadra.fid--370298aa_15b3a2610e3_-6796,12279,Quadras Esportivas nas Escolas - Manacapuru - AM - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,AM,MANACAPURU,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-60.6266666666667 -3.28777777777778)),0
quadra.fid--370298aa_15b3a2610e3_-6795,12296,Quadras Esportivas nas Escolas - Manacapuru - AM - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,AM,MANACAPURU,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-60.615 -3.30388888888889)),0
quadra.fid--370298aa_15b3a2610e3_-6794,12308,Quadras Esportivas nas Escolas - Boa Vista do Tupim - BA - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,BA,BOA VISTA DO TUPIM,--,,Concluído,30 de Junho de 2016,MULTIPOINT ((-40.6022222222222 -12.6613888888889)),0
quadra.fid--370298aa_15b3a2610e3_-6793,12328,Quadras Esportivas nas Escolas - Manacapuru - AM - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,AM,MANACAPURU,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-60.6338888888889 -3.2825)),0
quadra.fid--370298aa_15b3a2610e3_-6792,12338,Quadras Esportivas nas Escolas - Água Preta - PE - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,PE,ÁGUA PRETA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-35.5230555555556 -8.69222222222222)),0
quadra.fid--370298aa_15b3a2610e3_-6791,12352,Quadras Esportivas nas Escolas - São Pedro da Água Branca - MA - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MA,SÃO PEDRO DA ÁGUA BRANCA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4294444444444 -5.08666666666667)),0
quadra.fid--370298aa_15b3a2610e3_-6790,12353,Quadras Esportivas nas Escolas - São Pedro da Água Branca - MA - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,MA,SÃO PEDRO DA ÁGUA BRANCA,--,,Em obras,30 de Junho de 2016,MULTIPOINT ((-48.4330555555556 -5.08027777777778)),0
quadra.fid--370298aa_15b3a2610e3_-678f,12360,Quadras Esportivas nas Escolas - São Paulo do Potengi - RN - Construção de Quadra,Comunidade Cidadã,Quadras Esportivas nas Escolas,Ministério da Educação,Município,RN,SÃO PAULO DO POTENGI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de obra,30 de Junho de 2016,MULTIPOINT ((-35.7655555555556 -5.895)),0
